aluno_id,ano_letivo,nivel,ano_turma,turma,disciplina,fase,nota_exame_original,escala_original,nota_exame_norm_0_20,nota_p1,nota_p2,nota_p3,cif,cfd,epoca_atipica
1198,2015/2016,Ensino Secundário,11º,15/16 - 11º ANO B,GEOG.A,CE2,130,0-200,13.0,12,12,12,13,13,False
1198,2016/2017,Ensino Secundário,12º,16/17 - 12º ANO B,MAT.A,CE1,89,0-200,8.9,9,10,10,11,10,False
1198,2016/2017,Ensino Secundário,12º,16/17 - 12º ANO B,PORT.,CE1,106,0-200,10.6,10,11,12,12,12,False
1199,2013/2014,Ensino Secundário,11º,13/14 - 11º ANO A,FÍS.QUÍM.A,CE1,72,0-200,7.2,12,11,12,12,11,False
1199,2013/2014,Ensino Secundário,11º,13/14 - 11º ANO A,GEO.DESC.A,CE1,117,0-200,11.7,12,11,13,12,12,False
1199,2014/2015,Ensino Secundário,12º,14/15 - 12º ANO A,MAT.A,CE1,101,0-200,10.1,9,6,8,10,12,False
1199,2014/2015,Ensino Secundário,12º,14/15 - 12º ANO A,MAT.A,CE2,145,0-200,14.5,9,6,8,10,12,False
1199,2014/2015,Ensino Secundário,12º,14/15 - 12º ANO A,PORT.,CE1,97,0-200,9.7,10,9,11,10,11,False
1199,2014/2015,Ensino Secundário,12º,14/15 - 12º ANO A,PORT.,CE2,119,0-200,11.9,10,9,11,10,11,False
1200,2013/2014,Ensino Secundário,11º,13/14 - 11º ANO B,ECON.A,CE1,148,0-200,14.8,13,14,15,15,15,False
1200,2013/2014,Ensino Secundário,11º,13/14 - 11º ANO B,GEOG.A,CE1,145,0-200,14.5,15,15,16,15,15,False
1200,2014/2015,Ensino Secundário,12º,14/15 - 12º ANO B,MAT.A,CE1,91,0-200,9.1,13,11,11,14,13,False
1200,2014/2015,Ensino Secundário,12º,14/15 - 12º ANO B,MAT.A,CE2,95,0-200,9.5,13,11,11,14,13,False
1200,2014/2015,Ensino Secundário,12º,14/15 - 12º ANO B,PORT.,CE1,101,0-200,10.1,10,10,13,13,12,False
1202,2012/2013,Ensino Secundário,11º,12/13 - 11º ANO C,FILO.,CE1,144,0-200,14.4,10,12,11,12,13,False
1202,2012/2013,Ensino Secundário,11º,12/13 - 11º ANO C,GEOG.A,CE1,125,0-200,12.5,12,14,14,14,14,False
1202,2013/2014,Ensino Secundário,12º,13/14 - 12º ANO C,HIST.A,CE1,140,0-200,14.0,16,17,18,15,15,False
1202,2013/2014,Ensino Secundário,12º,13/14 - 12º ANO C,PORT.,CE1,145,0-200,14.5,12,12,13,13,14,False
1204,2013/2014,Ensino Secundário,11º,13/14 - 11º ANO A,FILO.,CE1,178,0-200,17.8,17,17,17,18,18,False
1204,2013/2014,Ensino Secundário,11º,13/14 - 11º ANO A,FÍS.QUÍM.A,CE1,110,0-200,11.0,17,15,16,16,16,False
1204,2013/2014,Ensino Secundário,11º,13/14 - 11º ANO A,FÍS.QUÍM.A,CE2,156,0-200,15.6,17,15,16,16,16,False
1204,2014/2015,Ensino Secundário,12º,14/15 - 12º ANO A,MAT.A,CE1,183,0-200,18.3,16,16,17,17,18,False
1204,2014/2015,Ensino Secundário,12º,14/15 - 12º ANO A,MAT.A,CE2,198,0-200,19.8,16,16,17,17,18,False
1204,2014/2015,Ensino Secundário,12º,14/15 - 12º ANO A,PORT.,CE1,119,0-200,11.9,10,15,17,16,16,False
1204,2014/2015,Ensino Secundário,12º,14/15 - 12º ANO A,PORT.,CE2,145,0-200,14.5,10,15,17,16,16,False
1205,2013/2014,Ensino Secundário,11º,13/14 - 11º ANO C,FILO.,CE1,158,0-200,15.8,14,15,14,14,15,False
1205,2013/2014,Ensino Secundário,11º,13/14 - 11º ANO C,LIT.PORT.,CE1,145,0-200,14.5,14,15,15,15,15,False
1205,2014/2015,Ensino Secundário,12º,14/15 - 12º ANO C,HIST.A,CE1,96,0-200,9.6,12,13,13,13,12,False
1205,2014/2015,Ensino Secundário,12º,14/15 - 12º ANO C,PORT.,CE1,127,0-200,12.7,14,15,18,15,14,False
1205,2014/2015,Ensino Secundário,12º,14/15 - 12º ANO C,PORT.,CE2,117,0-200,11.7,14,15,18,15,14,False
1208,2013/2014,Ensino Secundário,11º,13/14 - 11º ANO C,FILO.,CE1,149,0-200,14.9,12,14,14,14,14,False
1208,2013/2014,Ensino Secundário,11º,13/14 - 11º ANO C,LIT.PORT.,CE1,150,0-200,15.0,15,15,16,16,16,False
1208,2014/2015,Ensino Secundário,12º,14/15 - 12º ANO C,HIST.A,CE1,138,0-200,13.8,15,15,15,15,15,False
1208,2014/2015,Ensino Secundário,12º,14/15 - 12º ANO C,PORT.,CE1,150,0-200,15.0,13,14,15,14,14,False
1209,2013/2014,Ensino Secundário,11º,13/14 - 11º ANO B,ECON.A,CE1,155,0-200,15.5,14,14,15,15,15,False
1209,2013/2014,Ensino Secundário,11º,13/14 - 11º ANO B,FILO.,CE1,185,0-200,18.5,19,18,18,18,18,False
1209,2014/2015,Ensino Secundário,12º,14/15 - 12º ANO B,MAT.A,CE1,182,0-200,18.2,12,13,16,16,17,False
1209,2014/2015,Ensino Secundário,12º,14/15 - 12º ANO B,PORT.,CE1,111,0-200,11.1,15,16,17,16,15,False
1210,2013/2014,Ensino Secundário,11º,13/14 - 11º ANO C,FILO.,CE1,149,0-200,14.9,11,10,12,12,13,False
1210,2013/2014,Ensino Secundário,11º,13/14 - 11º ANO C,LIT.PORT.,CE1,147,0-200,14.7,13,14,14,13,14,False
1210,2014/2015,Ensino Secundário,12º,14/15 - 12º ANO C,HIST.A,CE1,108,0-200,10.8,13,13,13,13,12,False
1210,2014/2015,Ensino Secundário,12º,14/15 - 12º ANO C,PORT.,CE1,146,0-200,14.6,15,15,18,15,15,False
1211,2012/2013,Ensino Secundário,10º,12/13 - 10º ANO A,BIO.GEO.,CE1,102,0-200,10.2,12,11,10,,10,False
1211,2012/2013,Ensino Secundário,10º,12/13 - 10º ANO A,FÍS.QUÍM.A,CE1,93,0-200,9.3,10,9,10,,9,False
1211,2014/2015,Ensino Secundário,12º,14/15 - 12º ANO A,MAT.A,CE1,141,0-200,14.1,8,8,11,10,11,False
1211,2014/2015,Ensino Secundário,12º,14/15 - 12º ANO A,PORT.,CE1,105,0-200,10.5,12,11,12,11,11,False
1214,2013/2014,Ensino Secundário,11º,13/14 - 11º ANO A,BIO.GEO.,CE1,100,0-200,10.0,8,9,9,10,10,False
1214,2013/2014,Ensino Secundário,11º,13/14 - 11º ANO A,FÍS.QUÍM.A,CE1,75,0-200,7.5,9,8,9,10,9,False
1214,2013/2014,Ensino Secundário,11º,13/14 - 11º ANO A,FÍS.QUÍM.A,CE2,65,0-200,6.5,9,8,9,10,9,False
1214,2014/2015,Ensino Secundário,12º,14/15 - 12º ANO A,MAT.A,CE1,52,0-200,5.2,7,7,8,9,5,False
1214,2014/2015,Ensino Secundário,12º,14/15 - 12º ANO A,PORT.,CE1,117,0-200,11.7,12,11,12,12,12,False
1216,2013/2014,Ensino Secundário,11º,13/14 - 11º ANO C,FILO.,CE1,95,0-200,9.5,10,10,10,10,10,False
1216,2013/2014,Ensino Secundário,11º,13/14 - 11º ANO C,LIT.PORT.,CE1,140,0-200,14.0,8,8,11,11,12,False
1216,2014/2015,Ensino Secundário,12º,14/15 - 12º ANO C,HIST.A,CE1,165,0-200,16.5,10,10,10,10,12,False
1216,2014/2015,Ensino Secundário,12º,14/15 - 12º ANO C,PORT.,CE1,148,0-200,14.8,8,8,11,11,12,False
1217,2014/2015,Ensino Secundário,12º,14/15 - 12º ANO A,PORT.,CE1,150,0-200,15.0,12,15,17,15,15,False
1269,2020/2021,Ensino Secundário,11º,20/21 - 11º ANO A1,BIO.GEO.,CE2,126,0-200,12.6,11,12,13,14,14,True
1269,2020/2021,Ensino Secundário,11º,20/21 - 11º ANO A1,FÍS.QUÍM.A,CE2,84,0-200,8.4,13,13,14,15,15,True
1270,2020/2021,Ensino Secundário,12º,20/21 - 12º ANO C,PORT.,CE2,131,0-200,13.1,11,13,14,14,14,True
1278,2020/2021,Ensino Secundário,12º,20/21 - 12º ANO B1,MAT.A,CE2,149,0-200,14.9,17,18,19,17,17,True
1279,2019/2020,Ensino Secundário,11º,19/20 - 11º ANO A2,FÍS.QUÍM.A,CE1,78,0-200,7.8,9,8,8,9,8,True
1279,2019/2020,Ensino Secundário,11º,19/20 - 11º ANO A2,FÍS.QUÍM.A,CE2,80,0-200,8.0,9,8,8,9,8,True
1352,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO A2,FÍS.QUÍM.A,CE1,92,0-200,9.2,11,11,11,12,11,False
1352,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO A2,GEO.DESC.A,CE1,182,0-200,18.2,18,17,18,17,17,False
1354,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO A1,BIO.GEO.,CE1,158,0-200,15.8,16,15,15,15,16,False
1354,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO A1,BIO.GEO.,CE2,168,0-200,16.8,16,15,15,15,16,False
1354,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO A1,FÍS.QUÍM.A,CE1,171,0-200,17.1,13,15,16,17,17,False
1354,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO A1,FÍS.QUÍM.A,CE2,140,0-200,14.0,13,15,16,17,17,False
1355,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO D,GEO.DESC.A,CE1,135,0-200,13.5,18,17,14,14,14,False
1355,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO D,GEO.DESC.A,CE2,110,0-200,11.0,18,17,14,14,14,False
1355,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO D,HCA,CE1,192,0-200,19.2,13,14,15,14,16,False
1357,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO B2,ECON.A,CE1,176,0-200,17.6,18,18,18,18,18,False
1357,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO B2,HIST. B,CE1,148,0-200,14.8,17,17,17,17,16,False
1359,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO B2,ECON.A,CE1,135,0-200,13.5,15,16,16,15,15,False
