aluno_id,ano_letivo,turma,disciplina,fase,nota_exame_norm_0_20,nota_p1,nota_p2,nota_p3,cif
771,2012/2013,12/13 - 11º ANO A,BIO.GEO.,CE1,8.2,11,11,11,11
771,2012/2013,12/13 - 11º ANO A,BIO.GEO.,CE2,6.0,11,11,11,11
771,2012/2013,12/13 - 11º ANO A,FÍS.QUÍM.A,CE1,6.2,10,11,11,11
771,2013/2014,13/14 - 12º ANO A,MAT.A,CE1,7.5,10,10,10,10
771,2013/2014,13/14 - 12º ANO A,MAT.A,CE2,8.6,10,10,10,10
771,2013/2014,13/14 - 12º ANO A,PORT.,CE1,13.6,10,13,12,12
772,2012/2013,12/13 - 11º ANO A,BIO.GEO.,CE1,11.3,17,16,17,17
772,2012/2013,12/13 - 11º ANO A,FÍS.QUÍM.A,CE1,12.6,16,17,18,18
775,2012/2013,12/13 - 11º ANO A,FÍS.QUÍM.A,CE1,5.0,12,13,13,12
775,2012/2013,12/13 - 11º ANO A,FÍS.QUÍM.A,CE2,10.4,12,13,13,12
775,2012/2013,12/13 - 11º ANO A,GEO.DESC.A,CE1,15.9,16,17,17,16
775,2012/2013,12/13 - 11º ANO A,GEO.DESC.A,CE2,3.5,16,17,17,16
775,2013/2014,13/14 - 12º ANO A,MAT.A,CE1,12.1,16,15,14,15
775,2013/2014,13/14 - 12º ANO A,MAT.A,CE2,9.9,16,15,14,15
775,2013/2014,13/14 - 12º ANO A,PORT.,CE1,12.0,10,11,11,12
776,2012/2013,12/13 - 11º ANO A,FÍS.QUÍM.A,CE1,5.4,9,10,8,10
776,2012/2013,12/13 - 11º ANO A,FÍS.QUÍM.A,CE2,5.4,9,10,8,10
776,2013/2014,13/14 - 12º ANO A,PORT.,CE1,11.1,9,8,8,11
777,2011/2012,11/12 - 11º ANO A,BIO.GEO.,CE1,13.5,9,10,11,12
777,2012/2013,12/13 - 12º ANO A,MAT.A,CE1,8.5,10,9,8,10
777,2012/2013,12/13 - 12º ANO A,PORT.,CE1,9.5,10,10,11,11
779,2013/2014,13/14 - 11º ANO B,ECON.A,CE1,10.7,10,10,11,12
779,2013/2014,13/14 - 11º ANO B,FILO.,CE1,15.1,15,14,14,15
779,2014/2015,14/15 - 12º ANO B,MAT.A,CE1,9.6,10,10,11,13
779,2014/2015,14/15 - 12º ANO B,PORT.,CE1,11.6,12,11,12,13
781,2013/2014,13/14 - 11º ANO A,BIO.GEO.,CE1,12.5,8,10,10,10
781,2013/2014,13/14 - 11º ANO A,FÍS.QUÍM.A,CE1,6.3,9,10,10,10
781,2013/2014,13/14 - 11º ANO A,FÍS.QUÍM.A,CE2,7.0,9,10,10,10
781,2014/2015,14/15 - 12º ANO A,MAT.A,CE1,12.6,8,8,11,10
781,2014/2015,14/15 - 12º ANO A,PORT.,CE1,10.5,12,12,13,12
785,2014/2015,14/15 - 11º ANO A1,BIO.GEO.,CE1,6.7,11,11,11,11
785,2014/2015,14/15 - 11º ANO A1,FÍS.QUÍM.A,CE1,11.5,11,9,10,12
785,2014/2015,14/15 - 11º ANO A1,FÍS.QUÍM.A,CE2,7.0,11,9,10,12
785,2015/2016,15/16 - 12º ANO A1,MAT.A,CE1,13.5,14,16,17,13
785,2015/2016,15/16 - 12º ANO A1,MAT.A,CE2,15.0,14,16,17,13
785,2015/2016,15/16 - 12º ANO A1,PORT.,CE1,10.5,12,14,14,13
787,2014/2015,14/15 - 11º ANO B,ECON.A,CE1,4.5,13,15,16,16
787,2014/2015,14/15 - 11º ANO B,GEOG.A,CE1,12.2,13,13,13,14
787,2015/2016,15/16 - 12º ANO B,PORT.,CE1,5.9,11,9,11,11
788,2014/2015,14/15 - 11º ANO A1,BIO.GEO.,CE1,15.8,17,16,17,18
788,2014/2015,14/15 - 11º ANO A1,BIO.GEO.,CE2,17.7,17,16,17,18
788,2014/2015,14/15 - 11º ANO A1,FÍS.QUÍM.A,CE1,15.5,17,16,17,18
788,2014/2015,14/15 - 11º ANO A1,FÍS.QUÍM.A,CE2,18.3,17,16,17,18
788,2015/2016,15/16 - 12º ANO A1,MAT.A,CE1,14.1,18,18,19,18
788,2015/2016,15/16 - 12º ANO A1,MAT.A,CE2,16.5,18,18,19,18
788,2015/2016,15/16 - 12º ANO A1,PORT.,CE1,16.9,15,17,17,17
