aluno_id,ano_letivo,nivel,ano_turma,turma,disciplina,fase,nota_exame_original,escala_original,nota_exame_norm_0_20,nota_p1,nota_p2,nota_p3,cif,cfd,epoca_atipica
995,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO C - 2,PORT.,CE1,60,0-100,12.0,2,,3,,3,False
996,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO C - 2,MAT.,CE1,70,0-100,14.0,5,,5,,5,False
996,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO C - 2,PORT.,CE1,66,0-100,13.2,4,,3,,3,False
998,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO B - 1,MAT.,CE1,47,0-100,9.4,3,,3,,3,False
998,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO B - 1,PORT.,CE1,79,0-100,15.8,3,,2,,3,False
1003,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO A - 1,MAT.,CE1,78,0-100,15.6,5,,5,,5,False
1003,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO A - 1,PORT.,CE1,90,0-100,18.0,5,,5,,5,False
1005,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO C - 3,MAT.,CE1,68,0-100,13.6,4,,4,,4,False
1005,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO C - 3,PORT.,CE1,66,0-100,13.2,4,,4,,4,False
1007,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO C - 2,MAT.,CE1,95,0-100,19.0,5,,5,,5,False
1007,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO C - 2,PORT.,CE1,69,0-100,13.8,4,,4,,4,False
1009,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO C - 1,MAT.,CE1,79,0-100,15.8,4,,4,,4,False
1009,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO C - 1,PORT.,CE1,76,0-100,15.2,4,,3,,3,False
1012,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO C - 3,MAT.,CE1,76,0-100,15.2,4,,5,,5,False
1012,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO C - 3,PORT.,CE1,82,0-100,16.4,3,,4,,4,False
1014,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO A - 2,MAT.,CE1,86,0-100,17.2,3,,4,,4,False
1014,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO A - 2,PORT.,CE1,77,0-100,15.4,3,,3,,3,False
1015,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO B - 3,MAT.,CE1,82,0-100,16.4,5,,5,,5,False
1015,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO B - 3,PORT.,CE1,90,0-100,18.0,4,,5,,5,False
1016,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO B - 2,MAT.,CE1,77,0-100,15.4,3,,3,,3,False
1016,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO B - 2,PORT.,CE1,73,0-100,14.6,3,,3,,3,False
1018,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO B - 1,MAT.,CE1,40,0-100,8.0,3,,3,,3,False
1018,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO B - 1,PORT.,CE1,52,0-100,10.4,3,,3,,3,False
1019,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO A - 1,MAT.,CE1,90,0-100,18.0,5,,5,,5,False
1019,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO A - 1,PORT.,CE1,79,0-100,15.8,5,,5,,5,False
1020,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO B - 1,MAT.,CE1,72,0-100,14.4,4,,4,,4,False
1020,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO B - 1,PORT.,CE1,65,0-100,13.0,3,,3,,3,False
1021,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO C - 3,MAT.,CE1,76,0-100,15.2,5,,5,,5,False
1021,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO C - 3,PORT.,CE1,83,0-100,16.6,4,,5,,5,False
1022,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO C - 2,MAT.,CE1,56,0-100,11.2,4,,4,,4,False
1022,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO C - 2,PORT.,CE1,61,0-100,12.2,3,,4,,4,False
1023,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO A - 3,MAT.,CE1,79,0-100,15.8,4,,4,,4,False
1023,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO A - 3,PORT.,CE1,72,0-100,14.4,3,,3,,3,False
1030,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO A - 3,MAT.,CE1,80,0-100,16.0,4,,5,,5,False
1030,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO A - 3,PORT.,CE1,78,0-100,15.6,4,,4,,4,False
1031,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO C - 3,MAT.,CE1,77,0-100,15.4,5,,5,,5,False
1031,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO C - 3,PORT.,CE1,84,0-100,16.8,3,,4,,4,False
1033,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO C - 2,MAT.,CE1,61,0-100,12.2,4,,4,,4,False
1033,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO C - 2,PORT.,CE1,61,0-100,12.2,3,,4,,4,False
1035,2022/2023,3º Ciclo do Ensino Básico,9º,22/23 - 9º ANO C - 3,MAT.,CE1,88,0-100,17.6,5,,5,,5,False
